Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/27,Sunday,TIKTOK,262,Social Media
8/27,Sunday,NETFLIX,107,Entertainment
8/27,Sunday,INSTAGRAM,102,Social Media
8/27,Sunday,YOUTUBE,24,Entertainment
8/28,Monday,TIKTOK,252,Social Media
8/28,Monday,INSTAGRAM,130,Social Media
8/28,Monday,NETFLIX,56,Entertainment
8/28,Monday,MESSAGES,25,Other
8/28,Monday,PHOTO,19,Other
8/29,Tuesday,TIKTOK,288,Social Media
8/29,Tuesday,INSTAGRAM,62,Social Media
8/29,Tuesday,ROBLOX,17,Entertainment
8/29,Tuesday,SNAPCHAT,6,Social Media
8/30,Wednesday,TIKTOK,211,Social Media
8/30,Wednesday,INSTAGRAM,110,Social Media
8/30,Wednesday,NETFLIX,50,Entertainment
8/30,Wednesday,DOCS,37,Education
8/30,Wednesday,CAMERA,24,Entertainment
8/31,Thursday,TIKTOK,224,Social Media
8/31,Thursday,INSTAGRAM,65,Social Media
8/31,Thursday,MESSAGES,30,Other
8/31,Thursday,SETTINGS,13,Education
